,Unnamed: 0,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
15198,15376,94327,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"""No, a battle."" Drew prepared to lead out.","""No, a fight,"" Drew was ready to lead out.","No, a war ,"" Drew was ready to lead out.","No, a war",10.51%,1,0.9861284151484612,0.9189313650131226,contradiction,contradiction,entailment,entailment,entailment,0.99,0.98,0.98,False,0.010000000000000007,Certain-Same
2243,2270,64559,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Clients could rarely, if ever, earn a positive net interest.",The hedge fund had been averaging negative returns on their client's funds.,The bank had been averaging negative returns on their client's funds.,bank,10.47%,1,0.9779788481184444,0.92330002784729,neutral,neutral,entailment,neutral,neutral,1.0,0.98,0.98,False,0.020000000000000014,Certain-Same
12773,12923,9489,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,But what he means by what he shows is anybody's guess.,He means to show everyone that it's not worth it.,He means to show everyone that it's.,it's.,11.66%,1,0.9893392283481742,0.9315410256385804,neutral,neutral,entailment,neutral,neutral,0.98,0.94,0.94,False,0.040000000000000036,Certain-Same
23921,24197,97352,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The buyer was taken off the finance-contract hook.,The buyer was at one point on a finance-contract hook.,The buyer was at one point on a finance-                .,   .,10.12%,1,0.9565331959562215,0.8980078697204591,contradiction,contradiction,neutral,entailment,entailment,0.98,0.89,0.89,False,0.08999999999999997,Certain-Same
14511,14684,56449,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"At the bottom end of the market, try refrigerator magnets in the shape of Ionian or Corinthian columns!",There are refrigerator magnets at the bottom end of the market.,There are refrigerator magnets at the bottom end.,end.,11.24%,1,0.976444513536413,0.931259274482727,contradiction,contradiction,neutral,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
23616,23883,92502,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"And for the hundredth time, I'll tell you that you're here.",You will be here in three hours and 12 minutes.,You will be here in three minutes.,,11.53%,1,0.97500316567081,0.9209610223770142,neutral,neutral,entailment,neutral,neutral,0.99,0.96,0.96,False,0.030000000000000027,Certain-Same
17366,17568,60950,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,the rent plus trying plus trying to get the money for another car another car and,We owned our home and did not have to worry about rent.,We owned our home and did not have to.,to.,11.52%,1,0.9824698238469352,0.9344212412834167,entailment,entailment,contradiction,contradiction,contradiction,1.0,1.0,1.0,False,0.0,Certain-Same
26819,27139,67461,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"It nestles in a valley 5 km (3 miles) inland, unseen by passing ships.",It is found in the valley and hidden from ships.,It is found in the valley and.,and.,11.4%,1,0.9606983949411484,0.9285630583763124,contradiction,contradiction,neutral,entailment,entailment,0.99,0.86,0.86,False,0.13,Certain-Same
19326,19549,18003,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The scales have fallen from my eyes,  All those networks care about is ratings.",The networks sole worry are its ratings and nothing else.,The only things the network should worry are its ratings and nothing else.,only things the network should,10.44%,2,0.9754867389736708,0.9387787580490112,contradiction,contradiction,neutral,entailment,entailment,0.9,0.55,0.55,False,0.35,Uncertain-Same
11890,12033,58663,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"On the other hand, I am (problematically) 31, balding, British, and bitter.","Even though I am balding, I receive many dating requests.","Even though I am balding, I accept all British requests.",accept all British,10.21%,1,0.9663979674460283,0.951427698135376,neutral,neutral,entailment,neutral,neutral,0.99,0.77,0.77,False,0.22,Uncertain-Same
10005,10132,77267,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,yeah all those old good ones that you you know wish they had on more now but,I wish the movies today were more like old ones.,I wish the new ones looked more like old ones.,new ones looked,10.45%,2,0.968624551670236,0.9409138560295104,neutral,neutral,contradiction,neutral,neutral,0.91,0.67,0.67,False,0.24,Uncertain-Same
4029,4079,35695,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The Renaissance and Baroque palaces of the Via Garibaldi are a unique testimony to the town's historic proserity, many of them now banks or museums.",The palaces have been purchased by private businesses and re-purposed.,The palaces have been purchased by private businesses for commercial purposed.,for commercial,10.43%,1,0.9616021136908018,0.9531412720680236,neutral,neutral,entailment,neutral,neutral,0.76,0.79,0.79,False,0.030000000000000027,Uncertain-Same
6299,6369,85058,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,It cannot be seen fully until you enter its precincts through a narrow passage from the street.,"When you enter its precincts, your eyes may itch a little.","When you enter its precincts, your eyes can only see a little.",eyes can only see,10.67%,1,0.9802116416352542,0.9449313282966614,neutral,neutral,entailment,neutral,neutral,1.0,0.35,0.35,False,0.65,Uncertain-Same
17636,17844,17798,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"To say it's banged on them, of course, is not to say the fears are not real.",To say it's banged on them does correspond to say the fears are not real.,To say it's banged on them does correspond to say the fears.,fears.,11.18%,1,0.989363505479341,0.9450141191482544,entailment,entailment,neutral,contradiction,contradiction,0.98,0.72,0.72,False,0.26,Uncertain-Same
12943,13096,88072,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,and maybe and i knew i wanted to be in engineering so i was looking for a good engineering school so i ended up going to Tech in Lubbock,"I researched on schools specialising in engineering, which was my intended direction. ","I researched on schools specialising in engineering, which was my.",my.,10.6%,1,0.9851888607968371,0.9576378464698792,contradiction,contradiction,entailment,entailment,entailment,0.88,0.75,0.75,False,0.13,Uncertain-Same
8579,8680,53603,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Like in the old days in Chicago when   oh, who are we kidding?",The golden age that people like to talk about is often imaginary.,The golden age that people like to talk about is in Chicago.,in Chicago.,10.22%,1,0.9712890088174272,0.9528276324272156,neutral,neutral,entailment,neutral,neutral,0.91,0.62,0.62,False,0.29000000000000004,Uncertain-Same
23367,23632,3534,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Assuming they are valid around the current discount level of 6a, they clearly show a good deal of sensitivity to the discount.",Consumers seem to be vary aware of discounts we offer.,Consumers seem to be vary about the level of discounts we offer.,about the level,10.11%,1,0.9809420300451694,0.9447605013847352,contradiction,contradiction,entailment,entailment,entailment,0.66,0.6,0.6,False,0.06000000000000005,Uncertain-Same
4365,4418,90536,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The interior could not be more in contrast to the vast exterior.,"While vastly different, the interior and the exterior are just as the client wanted it.","While vastly different, the interior and the exterior are just as the.",the.,11.7%,1,0.987143676204522,0.9510031342506408,neutral,neutral,contradiction,neutral,neutral,1.0,0.76,0.76,False,0.24,Uncertain-Same
8587,8688,53603,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Like in the old days in Chicago when   oh, who are we kidding?",The golden age that people like to talk about is often imaginary.,The golden age that people like to talk about.,about.,11.55%,1,0.9831043899184134,0.9577409625053406,neutral,neutral,contradiction,neutral,neutral,0.91,0.69,0.69,False,0.22000000000000008,Uncertain-Same
1084,1100,6130,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,because uh the people don't have the time to give that one-on-one attention,One-on-one attention requires too much time. ,One-on-one attention takes a lot of time.,takes a lot of,10.56%,1,0.9666562000535536,0.9579400420188904,neutral,neutral,entailment,entailment,entailment,0.74,0.77,0.77,False,0.030000000000000027,Uncertain-Same
12508,12657,56130,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The significance of a matter is its relative importance to the audit objectives and potential users of the audit report.,It is only significant if it has a large impact on the audit's objectives.,It is only a matter that has a large impact on the audit's objectives.,a matter that,10.26%,3,0.9922725044877564,0.938228189945221,neutral,neutral,contradiction,neutral,neutral,0.96,0.56,0.56,False,0.3999999999999999,Uncertain-Same
19122,19344,37627,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The results of these model runs are predictions of pollutant concentrations under each of the emission control scenarios specified above.,The results of those model runs cannot predict pollution concentrations.,The results of those model runs cannot be trusted.,be trusted.,10.85%,1,0.921012945212354,0.9483506679534912,entailment,entailment,contradiction,contradiction,contradiction,1.0,0.7,0.7,False,0.30000000000000004,Uncertain-Same
5848,5916,20299,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"At a 300-lawyer firm, it would translate into about 1,300 hours a year, more than half a hard-working lawyer's billable time.","A hard working lawyer might generate less than 2,600 billable hours a year.",A hard working lawyer might generate less than half the time a year.,half the time,10.11%,2,0.9570863750964312,0.9461848735809326,contradiction,contradiction,entailment,entailment,entailment,0.96,0.62,0.62,False,0.34,Uncertain-Same
10091,10218,35265,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Though LSNJ recommended keeping the Passaic service area separate, Passaic Legal contends that LSNJ is acting as LSC's agent in defunding the Passaic unit.",LSNJ recommended keeping the service area separate to cut down on competition.,LSNJ recommended keeping the service area separate to cut.,cut.,10.34%,1,0.9770048750551326,0.947266161441803,neutral,neutral,contradiction,neutral,neutral,1.0,0.79,0.79,False,0.21,Uncertain-Same
12327,12475,54707,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,We conducted our work from October 2000 through August 2001 in accordance with generally accepted government auditing standards.,It is impossible for due care to be given if the full 10 months is not used.,It is impossible for any work to be given if the full 10 months is not used.,for any work,10.29%,2,0.9924057129461707,0.9557676315307616,neutral,neutral,entailment,neutral,neutral,0.98,0.69,0.69,False,0.29000000000000004,Uncertain-Same
12632,12781,31127,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Sales comparisons were replaced with alcohol, and market reports - with snacks.","Reports were no longer important, so people ate and drank.","Reports were no longer important, they were replaced with what you ate and drank.",were they replaced with what you,10.45%,1,0.9828450194531978,0.9311001896858216,neutral,neutral,entailment,neutral,neutral,0.63,0.68,0.68,False,0.05000000000000005,Uncertain-Same
12858,13010,74138,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Away from the large towns and tourist resorts, life continues in time-honored tradition.",There are resorts for tourists and natives who continue their lives normally.,There are resorts for tourists and natives who continue their.,their.,11.16%,1,0.9905734091265598,0.9513230323791504,contradiction,contradiction,entailment,entailment,entailment,0.83,0.72,0.72,False,0.11,Uncertain-Same
19588,19814,58272,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Violence may look magnificent on screen, but on the theatrical stage it's phony baloney.",Everyone thinks violence looks silly and melodramatic when acted out on a stage.,Everyone thinks violence looks silly and fake out on a stage.,fake,10.54%,1,0.9714733965957107,0.9265958070755004,neutral,neutral,contradiction,neutral,neutral,0.89,0.78,0.78,False,0.11,Uncertain-Same
14794,14969,68340,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The chateau was owned by a series of women including the beautiful Diane de Poitiers, mistress to Henri II, and Catherine de M??dicis.",The women that owned and occupied the chateau were beautiful.,The women that owned and occupied the.,the.,10.99%,1,0.9600068052261964,0.9252846240997314,contradiction,contradiction,neutral,entailment,entailment,0.85,0.64,0.64,False,0.21,Uncertain-Same
22089,22341,46502,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"On the subject of Clinton's aggressive fund raising, Morris recently told the New York Daily News , I just think he overdid it.",The New York Daily News has not received any comment from Morris.,The New York Daily News has not received any.,any.,10.38%,1,0.9801065154518664,0.940227508544922,entailment,entailment,neutral,contradiction,contradiction,1.0,0.52,0.52,False,0.48,Uncertain-Same
6811,6890,86515,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"In my view, too many people today are trying to structure transactions and other business dealings so they are technically acceptable rather than doing what is right.","It's never better to try and pass by technicality, instead of by doing what's right.","It's never better to try and structure transactions, instead of by doing what's right.","structure transactions,",10.46%,1,0.97753864056773,0.95744389295578,neutral,neutral,contradiction,neutral,neutral,0.82,0.78,0.78,False,0.039999999999999925,Uncertain-Same
22664,22925,72348,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"After 14 washings, the washed sets of clothing had lost significant amounts of color as compared with the unwashed control set.",Some washing machines are designed to help the clothes keep their color.,Some washing was done to help the clothes keep their color.,was done,10.44%,1,0.9631034397208728,0.9384987950325012,neutral,neutral,contradiction,neutral,neutral,0.99,0.69,0.69,False,0.30000000000000004,Uncertain-Same
4030,4080,35695,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The Renaissance and Baroque palaces of the Via Garibaldi are a unique testimony to the town's historic proserity, many of them now banks or museums.",The palaces have been purchased by private businesses and re-purposed.,The palaces have been purchased by private businesses and.,and.,10.94%,1,0.9703097623893528,0.9583551287651062,neutral,neutral,contradiction,neutral,neutral,0.76,0.68,0.68,False,0.07999999999999996,Uncertain-Same
