HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.cid,Input.hid,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems,Approve,Reject
388FBO7JZSVQK1SV5ZVWUO4D2YYYNH,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:22 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:22 PDT 2020,,,3YMU66OBIOA1AYJEYXJE6OWY7N2GHU,A3EUGO4VR2N4G1,Approved,Fri Apr 17 14:02:23 PDT 2020,Fri Apr 17 18:58:51 PDT 2020,Sat Apr 18 18:58:51 PDT 2020,Sat Apr 18 18:59:44 PDT 2020,,,17788,100% (97/97),100% (97/97),100% (46/46),"Worse still, the government soon tallied up some graft cases of its own, and has spent the better part of this year trying to convince Greeks that it was not responsible for a bond-buying scandal in which social security funds lost millions of euros (dollars).","It was not clear whether there would be a restoration of any of the governor's cuts, which represent $760 million in overall statewide spending this year and more than $500 million in borrowing for future programs, including school construction.",AFP_ENG_20070913.0538_14_0,NYT_ENG_19980427.0472_11_0,The government had lost millions of dollars in social security funds.,The government successfully invested the social security funds to create a surplus of five million euros.,The government officials were corrupt and not incompetent.,{},,
38B7Q9C28H73CFEVY6HZTWP0YZP69R,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,3K4J6M3CXFVM0BB0SR9MP29UURTAGS,A3LT7W355XOAKF,Approved,Fri Apr 17 11:32:24 PDT 2020,Fri Apr 17 12:11:21 PDT 2020,Sat Apr 18 12:11:21 PDT 2020,Sat Apr 18 12:11:44 PDT 2020,,,2337,100% (2/2),100% (2/2),100% (2/2),"Chen reiterated the government's stance on the issue in an interview with the Central News Agency, during which he said that the Cabinet will not put any casino-related bills on a priority list to be referred to the Legislative Yuan for approval during its upcoming session.","While both ruling and opposition parties oppose any further delay in deciding the project's fate, Chen is not expected to spell out his personal stance at the press conference to avoid affecting a Cabinet evaluation of the pros and cons of the project.",CNA_ENG_20070828.0011_1_0,CNA_ENG_20000915.0018_5_1,Chen did an interview with the Central News Agency about the government's current stance on an issue.,Chen said the Cabinet put several casino-related bills on a priority list.,Chen's interview with the Central News Agency lasted over 2 hours.,{},,
38F60IALAHJRIJ1UUN6ZBVGLF360TK,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:24 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:24 PDT 2020,,,3VBEN272ML1Q07XU9RVDA230GZLSGV,A3EUGO4VR2N4G1,Approved,Sat Apr 18 01:20:55 PDT 2020,Sat Apr 18 03:09:29 PDT 2020,Sun Apr 19 03:09:29 PDT 2020,Sun Apr 19 03:09:44 PDT 2020,,,6514,100% (97/97),100% (97/97),100% (46/46),Lee is expected to attend a welcome reception hosted by a group of U.S. congressional members at Capitol Hill Wednesday and to deliver a speech at the National Press Club Thursday before flying to Los Angeles.,Lee is slated to give a speech Thursday at the U.S. National Press Club.,CNA_ENG_20051019.0027_7_0,CNA_ENG_20051020.0014_5_0,The National Press Club is having Lee as a guest speaker.,A hostile crowd is awaiting Lee at the National Press Club.,Lee has accepted large campaign contributions from the National Press Club.,{},,
38LRF35D5MY2ZOFGDFESIP0U1TWU3Z,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:35 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:35 PDT 2020,,,345LHZDEDYU5L8DA3HJT69WFXOAU38,A1SX8IVV82M0LW,Approved,Fri Apr 17 14:00:06 PDT 2020,Fri Apr 17 14:05:40 PDT 2020,Sat Apr 18 14:05:40 PDT 2020,Sat Apr 18 14:05:44 PDT 2020,,,334,100% (1369/1369),100% (130/130),100% (130/130),"Asked to comment on the delivery of only 600 million US dollars of aid out of the total promised 1.8 billion dollars for this year, the UN special envoy said that it was only ""a small business.""","Overall, the UN evaluation of the country's humanitarian aid for this year is 380 million dollars.",XIN_ENG_20020827.0138_1_0,AFP_ENG_19960927.0589_7_0,The UN special envoy claims that it was a small business.,The UN special envoy mishandled 600 million US dollars.,It would take a delivery of at least a billion dollars for the UN special envoy to consider it a large business.,{},,
38LRF35D5MY2ZOFGDFESIP0U1TX3U9,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,326O153BMJ0ME4IL66A0F0WO2FTED1,A3P9TM5PRYBH90,Approved,Fri Apr 17 13:55:33 PDT 2020,Fri Apr 17 17:20:05 PDT 2020,Sat Apr 18 17:20:05 PDT 2020,Sat Apr 18 17:20:44 PDT 2020,,,12272,100% (159/159),100% (159/159),100% (6/6),"In a nine-month study on the effects of repealing ""don't ask, don't tell,"" the 17-year-old policy that requires gay service members to keep their sexual orientation secret or face discharge, the authors concluded that while repeal would in the short run most likely bring about ""some limited and isolated disruption to unit cohesion and retention,"" those effects could be mitigated by effective leadership.","Sleep-deprived snooze-button addicts are likely to cut short their quota of REM sleep, impairing their mental functioning during the day.",NYT_ENG_20101130.0137_1_0,NYT_ENG_20041011.0128_7_3,"The ""don't ask, don't tell"" policy has been in effect for seventeen years.","The so-called ""don't ask, don't tell"" policy was instated for only a few brief months before being repealed.","A study on ""don't ask, don't tell"" has brought the practice into question and prompted calls to do away with the policy altogether.",{},,
38O9DZ0A63PSCVTWDX2KJ9HMSTF62Z,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,3YJ6NA41JCI3EH73PGCMCAQ5L44JPD,A272X64FOZFYLB,Approved,Fri Apr 17 08:59:35 PDT 2020,Fri Apr 17 12:42:09 PDT 2020,Sat Apr 18 12:42:09 PDT 2020,Sat Apr 18 12:42:44 PDT 2020,,,13354,100% (686/686),100% (37/37),100% (37/37),"It's true, you can have too much of a good thing.","Sometimes, though, you can be too much of a maverick.",LTW_ENG_19971017.0019_19_1,LTW_ENG_20070624.0015_9_0,It's possible to consume too much of something that is typically beneficial.,It's impossible to consume too much of something that is normally beneficial for you.,"You can have too much of a good thing, such as seltzer water and crackers.",{},,
38RHULDV9ZHUHVM4TI0G4JNG5R4WI0,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:26 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:26 PDT 2020,,,3MH9DQ757XE6FKPYYWQDP3LO1TFGU2,A1SX8IVV82M0LW,Approved,Fri Apr 17 10:08:39 PDT 2020,Fri Apr 17 10:30:26 PDT 2020,Sat Apr 18 10:30:26 PDT 2020,Sat Apr 18 10:30:44 PDT 2020,,,1307,100% (1369/1369),100% (130/130),100% (130/130),"Ali Akbar Salehi, the leader of the Iranian Organization for Atomic Energy, announced late Sunday the construction of a new uranium enrichment plant scheduled for next year, turning a deaf ear to UN sanctions threats.","The country's hardline president, Mahmoud Ahmadinejad, announced the planned construction of 10 new enrichment plants late in 2009 after Tehran was censured by the UN atomic watchdog over building the Fordo facility.",XIN_ENG_20100816.0166_2_0,AFP_ENG_20100816.0022_6_0,Ali Akbar Salehi is the leader for the Organization for Atomic Energy in Iran.,Ali Akbar Salehi is demolishing a uranium enrichment plant.,Ali Akbar Salehi purposefully ignored the UN sanctions threats.,{},,
38VTL6WC4BFMUCMP1ZZA074RBDZ5YZ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:25 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:25 PDT 2020,,,38SKSKU7R2ZHSL8ZF6YFJS2L3FELI5,A1E77HZO63E334,Approved,Fri Apr 17 11:14:52 PDT 2020,Fri Apr 17 11:18:50 PDT 2020,Sat Apr 18 11:18:50 PDT 2020,Sat Apr 18 11:19:44 PDT 2020,,,238,100% (61/61),100% (61/61),100% (61/61),"Rennes continued its good home form with Switzerland striker Alexander Frei poaching two more goals to take his tally onto 16, while Kim Kallstrom and Olivier Sorlin also scored.",Rennes had held their own up till then despite missing Swiss  international striker Alexander Frei and playmaker Olivier  Monterrubio but,APW_ENG_20040501.0395_11_0,AFP_ENG_20050302.0613_10_0,Alexander Frei has 16 goals.,Alexander Frei had a hat trick in the game.,Kim Kallstrom has 10 goals for the season.,{},,
39AYGO6AFGMO1HIPZG04BXKK3O66NQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:37 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:37 PDT 2020,,,3UJ1CZ6IZIRSKA8ASVCM65CBQOT5S8,A3EUGO4VR2N4G1,Approved,Fri Apr 17 12:35:09 PDT 2020,Fri Apr 17 14:24:27 PDT 2020,Sat Apr 18 14:24:27 PDT 2020,Sat Apr 18 14:24:44 PDT 2020,,,6558,100% (97/97),100% (97/97),100% (46/46),"""I hope that the technical committees on 'day-to-day issues'  will soon take up their work after further agreement on 'substantive  issues' to be discussed concurrently,"" the enlargement commissioner  said.","""I hope that the technical committees on 'day-to-day issues'  will soon take up their work after further agreement on ' substantive issues' to be discussed concurrently,"" said Rehn.",AFP_ENG_20060710.0186_5_0,XIN_ENG_20060710.0288_4_0,The technical committees are discussing substantive issues now.,The committee has no plans to meet again anytime soon.,The committee will reach an agreement soon.,{},,
39O0SQZVJO9SKFOMBXMDQVPQZWER7X,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:24 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:24 PDT 2020,,,3L4D84MIL0UB109F634H31OEZDUJH8,A25J1XF62KBXFC,Approved,Fri Apr 17 13:59:43 PDT 2020,Fri Apr 17 14:09:18 PDT 2020,Sat Apr 18 14:09:18 PDT 2020,Sat Apr 18 14:09:44 PDT 2020,,,575,100% (3/3),100% (3/3),100% (3/3),"They complained that they are not allowed to own land on the military-governed island and that it takes them 10 days to travel to the island of Taiwan, with a ferry their only way to reach the main island.","Only a limited number of mainlanders are now able to travel to Taiwan, mostly on business.",CNA_ENG_19980306.0024_3_0,CNA_ENG_20051106.0022_4_1,They complained about transport to an island wich is controlled by military forces.,They complained about ferry boat wich is used by military forces.,They complained about military forces influence in Asia.,{},,
39RRBHZ0AV33XWB93CJ6IC7SUV4VZM,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:22 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:22 PDT 2020,,,388U7OUMF83HOOMWG065Z0BONDMR06,AXKM02NVXNGOM,Approved,Fri Apr 17 08:59:40 PDT 2020,Fri Apr 17 13:33:32 PDT 2020,Sat Apr 18 13:33:32 PDT 2020,Sat Apr 18 13:33:44 PDT 2020,,,16432,100% (1/1),100% (1/1),100% (1/1),"For the 12 months ended in December, the top 10 stocks in the S&AMPP accounted for 43 percent of the index's gains.","For the 12 months ended Feb. 28, the top 10 S&AMPP stocks contributed 49 percent of the index's performance.",NYT_ENG_19990312.0308_8_1,NYT_ENG_19990312.0308_8_2,Top ten stock of the S&P index cause 43 percent gain last year.,The top ten stock were down last year in the S&P.,The top ten stock gained a lot in the S&P index last year.,{},,
39TX062QX2QUGS9BIKPF2WZYVBE3X1,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:33 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:33 PDT 2020,,,3ND9UOO81L4ZTGS44N2UKJBTITYLW4,A1SX8IVV82M0LW,Approved,Fri Apr 17 19:50:58 PDT 2020,Fri Apr 17 22:26:25 PDT 2020,Sat Apr 18 22:26:25 PDT 2020,Sat Apr 18 22:26:44 PDT 2020,,,9327,100% (1369/1369),100% (130/130),100% (130/130),"Under a plan being developed by the government, GM would file for ""pre-arranged bankruptcy"" and then use a special legal provision to promptly sell off desirable assets -- which could include Cadillac and Chevrolet -- to a new, government-financed company, according to the Times.","The proposal would require handgun owners to pass a safety test to obtain a license to possess a gun and all pistols to be sold with trigger-locking devices, the Times said.",AFP_ENG_20090401.0153_8_0,XIN_ENG_19971014.0053_2_0,GM is planning to file under a 'pre-arranged bankruptcy'.,GM is going to become defunct after filing for bankruptcy.,"GM wants to become a new, government-financed company.",{},,
39WICJI5AUUJLN9QJ2D0ZHF93BBZ3T,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:33 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:33 PDT 2020,,,3XIQGXAUMDAF3V8SAYX63X7ZW9NX7K,A1E77HZO63E334,Approved,Fri Apr 17 12:12:45 PDT 2020,Fri Apr 17 12:18:41 PDT 2020,Sat Apr 18 12:18:41 PDT 2020,Sat Apr 18 12:18:44 PDT 2020,,,356,100% (61/61),100% (61/61),100% (61/61),"A daily 700 temporary trains will be put to use on Monday and Tuesday to meet the transport demand, more than the numbers in previous years, according to the statement.","The young skier was expected to give his account later on Monday and deliver a prevention message, according to police.",XIN_ENG_20090119.0316_10_0,AFP_ENG_20100208.0366_22_0,700 temporary trains will be used Monday.,There are less temporary trains this year compared to last.,Increased transportation demands will continue Wednesday.,{},,
39WICJI5AUUJLN9QJ2D0ZHF93BC3ZY,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:34 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:34 PDT 2020,,,352YTHGROWFLYIQU3WHDXZZVHJUH4B,A243X2Y9HP7630,Approved,Fri Apr 17 22:35:52 PDT 2020,Sat Apr 18 01:58:04 PDT 2020,Sun Apr 19 01:58:04 PDT 2020,Sun Apr 19 01:58:44 PDT 2020,,,12132,100% (366/366),100% (35/35),100% (35/35),"""Hamas is armed with the steadfastness of our people and their  support as well as the support of the Islamic and Arab world,"" Abu Zuhri said, adding that Hamas would employ all possible measures  to avoid those security and economic sanctions that Israel imposed on the Palestinians.","""The decision is part of the stranglehold policy pursued by Israel against our people,"" Nashashibi added, pointing out the necessity of informing all Arab and international organizations and urging them to take counter measures.",XIN_ENG_20060219.0092_4_0,XIN_ENG_20000207.0008_4_0,Hamas opposes the sanctions issued by Israel on Palestine.,Israel and Palestine are on friendly terms and have good relations with each other.,Hamas is based in Palestine.,{},,
39WSF6KUV3NAWHBG6DJF2AC2AWYOE7,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:26 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:26 PDT 2020,,,36AHBNMV1SEKK9ZC67MUM3O4KPADYN,AYJGQBBK6KXZ7,Approved,Fri Apr 17 09:33:01 PDT 2020,Fri Apr 17 13:05:44 PDT 2020,Sat Apr 18 13:05:44 PDT 2020,Sat Apr 18 13:06:44 PDT 2020,,,12763,100% (50/50),100% (50/50),100% (50/50),"Saud al-Faisal on Sunday pressed President George W. Bush to support  calls for a ceasefire in Lebanon, during talks at the White House  with the US leader and Secretary of State Condoleezza Rice.",Iraqi Prime Minister Nuri  al-Maliki on Tuesday urged an immediate ceasefire in Lebanon during  a joint press conference at the White House with US President George  W. Bush.,AFP_ENG_20060723.0365_0_1,AFP_ENG_20060725.0408_0_0,George Bush and Condoleezza Rice were encouraged to hold a ceasefire in Lebanon through talks with Saud al-Faisal.,Saud al-Faisal stressed to President Bush the importance of not calling for a ceasefire in Lebanon when they met at Bush's ranch in Texas.,President George W. Bush agreed to call for a ceasefire in Lebanon after a White House talk with Saud al-Faisal.,{},,
39XCQ6V3KZ6KBSCJVG4IHGKYC36650,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:31 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:31 PDT 2020,,,34MAJL3QP5P64AJVOBSBT5YLYBN43W,A1SX8IVV82M0LW,Approved,Fri Apr 17 14:00:57 PDT 2020,Fri Apr 17 14:24:19 PDT 2020,Sat Apr 18 14:24:19 PDT 2020,Sat Apr 18 14:24:44 PDT 2020,,,1402,100% (1369/1369),100% (130/130),100% (130/130),"Most of the companies are in the business of integrated circuits, computers and their peripherals, opto-electronics, communications, precision machinery, and biotechnology, according to the tallies, which also indicated that the number of workers in the park has been increasing since 2002.","Today, the number has fallen to about 50,000, most of which live in Central Kalimantan.",CNA_ENG_20050422.0049_2_0,LTW_ENG_20091114.0045_8_1,The companies are mostly in the business of computers.,The companies are mostly in the business of demolishing computers.,The workers in the park have always been increasing since 2002.,{},,
3A3KKYU7P4JGDECVEXY8WCUXM0OWMG,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,3X66WABAJXKMGQCFJCUC2UVOOHO3GC,A3D6VDP1APQF3D,Approved,Fri Apr 17 10:27:35 PDT 2020,Fri Apr 17 13:14:57 PDT 2020,Sat Apr 18 13:14:57 PDT 2020,Sat Apr 18 13:15:44 PDT 2020,,,10042,100% (2/2),100% (2/2),100% (2/2),"His talk centered on how to achieve genuine compassion - not the kind that people easily muster for friends who share their views, but compassion for those they don't agree with.","``They may not find anybody among their friends and family who share that interest, but on the Internet, they can.''",NYT_ENG_20090430.0174_15_0,NYT_ENG_20020305.0202_7_3,His talk did not focus on compassion shared amongst friends with common views.,"His talk focused on all kinds of compassion, including those we share with our friends.",His talk had an audience of over 200 individuals from all different walks of life.,{},,
3AA88CN98Q5PCV7S8M3G2WN983TYKC,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:22 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:22 PDT 2020,,,3VFJCI1K401EZSXHU2V8KSY4UUBGRY,ACI8PUCF5OPDC,Approved,Fri Apr 17 08:59:32 PDT 2020,Fri Apr 17 09:11:21 PDT 2020,Sat Apr 18 09:11:21 PDT 2020,Sat Apr 18 09:11:44 PDT 2020,,,709,100% (3/3),100% (3/3),100% (3/3),The cultural month will begin on May 20 and end on June 20.,The comment period ends on May 20.,XIN_ENG_19950518.0001_6_0,XIN_ENG_20080429.0271_10_0,"On May 20, the cultural month starts and it goes on till June 20.",The cultural month will not be held from May 20 to June 20.,The cultural month is from May 20 to June 20 and it will also be held next year.,{},,
3AFT28WXLG4MCMD22W96NPAU2P5OIG,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,36PW28KO40YOGXF9MWJYPZOIHA8EA7,A1SX8IVV82M0LW,Approved,Fri Apr 17 14:00:18 PDT 2020,Fri Apr 17 14:08:56 PDT 2020,Sat Apr 18 14:08:56 PDT 2020,Sat Apr 18 14:09:44 PDT 2020,,,518,100% (1369/1369),100% (130/130),100% (130/130),"Ford, which is in the middle of a restructuring plan that will close 16 factories by 2012 and usher thousands of hourly workers out the door with early retirement or buyout plans, saw its sales decline slightly more than 12 percent for the first eight months of the year.","At the end of March, the firm employed 258,100 people worldwide, 4,400 more than a year earlier after the group boosted its Netherlands-based workforce for the first time since 1990 - having since then engaged in a restructuring plan which saw the shedding of thousands of positions.",APW_ENG_20070904.1423_11_0,AFP_ENG_19950426.0188_11_0,Ford's sales are declining.,Ford is benefiting from the restructuring.,Ford is undergoing a restructuring plan in response to a pandemic.,{},,
3APP19WN72GIRP13CCN9LDBN2CK6GI,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:34 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:34 PDT 2020,,,3M1CVSFP617DD05EVNEYJGDW0ENAQ8,A1SX8IVV82M0LW,Approved,Fri Apr 17 10:20:21 PDT 2020,Fri Apr 17 10:40:46 PDT 2020,Sat Apr 18 10:40:46 PDT 2020,Sat Apr 18 10:41:44 PDT 2020,,,1225,100% (1369/1369),100% (130/130),100% (130/130),"``The judiciary acts as a ballast on our ship of state,'' said the judge, in his trademark stentorian rumble, ``and it prevents the ship from being wrecked on the reefs of inappropriate judgment, and should not be steered by the whims of hysterical opinion and the bleatings of public officials who possibly are seeking political advantage.''","No uniformed officer should be demonstrating his stun gun outside of the line of duty except during training exercises, the chief said.",NYT_ENG_19960607.0748_8_0,APW_ENG_20070523.1690_5_0,The judge has a trademark stentorian rumble.,The judge is not following the law.,The judge wants to silence the bleatings of public officials.,{},,
3AQN9REUTGIHYP1IG5HTYJSJOUXDYF,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:36 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:36 PDT 2020,,,3LYA37P8IRPWL7CBOWUXI5LTJQCKBH,A243X2Y9HP7630,Approved,Fri Apr 17 10:11:56 PDT 2020,Fri Apr 17 11:37:51 PDT 2020,Sat Apr 18 11:37:51 PDT 2020,Sat Apr 18 11:38:44 PDT 2020,,,5155,100% (366/366),100% (35/35),100% (35/35),"Meanwhile, he said, Shanghai will do a good job of building a modern enterprise system in the first 140 pilot enterprises, and make efforts to promote ideological progress in enterprises so as to create a new image of the industry of Shanghai.","Experts say that, because the pilot program covers many sectors, it is a great help to Shanghai in establishing a market economy framework.",XIN_ENG_19950301.0019_4_0,XIN_ENG_19970704.0211_5_0,Shanghai was looking to create a new image of the industry of Shanghai in modern enterprise system.,He was skeptical of Shanghai's performance in doing a good job of building a modern enterprise system in the first 140 pilot enterprises,The initial 140 pilot enterprises will help Shanghai establish a new image of its industry,{},,
3ATYLI1PRU4I7XX8KEU6ZQPUF4UOJS,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:31 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:31 PDT 2020,,,3K3R2QNK8C5R0A2QKQK3XMZ1XGKU9P,A1SX8IVV82M0LW,Approved,Fri Apr 17 08:59:48 PDT 2020,Fri Apr 17 10:43:50 PDT 2020,Sat Apr 18 10:43:50 PDT 2020,Sat Apr 18 10:44:44 PDT 2020,,,6242,100% (1369/1369),100% (130/130),100% (130/130),"Effective immediately, he will report directly to GrandMet's chief executive, George Bull, and will join the company's executive committee.","Gordon, the chief executive, will be a consultant to Healthsouth and join the board.",NYT_ENG_19951031.0434_1_1,NYT_ENG_19951010.0440_16_1,He will report to George Bull.,He will report to a chief executive of Microsoft.,He was promoted to become the company's executive committee.,{},,
3B623HUYJ5S8L8TI0REOU5QHWI48SQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:36 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:36 PDT 2020,,,3KOPY89HM94W7S2GRIFFZ7N4G8D3JM,A2M1CVZZJAN4T4,Approved,Fri Apr 17 09:23:36 PDT 2020,Fri Apr 17 12:56:14 PDT 2020,Sat Apr 18 12:56:14 PDT 2020,Sat Apr 18 12:56:44 PDT 2020,,,12758,100% (351/351),100% (56/56),100% (56/56),"Today's topic: cross-examination of Los Angeles Police Department Detective Tom Lange, the lead investigator in the case.",While criticizing the jury's failure to assess punitive damages against former Los Angeles Police Department Sgt.,LTW_ENG_19950222.0141_1_0,LTW_ENG_19940601.0112_17_0,Los Angeles Police Department Detective Tom Lange is the lead investigator in the case.,"Tom Lange is working on the case, but is not the lead investigator.",The cross-examination of Los Angeles Police Department Detective Tom Lange is a much anticipated topic.,{},,
