,premID,premise,mask-type,hypoID,hypothesis,response,Worker
375,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,gradient,27267.0,"Jack, a coworker of mine I've know for a while, sent me an application.",neutral,A2C84POENS2UNY
375,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,gradient,27268.0,"Jack, a friend of mine I've know for a while, sent me an application for a scholarship.",neutral,A2C84POENS2UNY
375,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,gradient,27269.0,"Jack, a friend of mine I've know for a while, sent me no application.",contradiction,A2C84POENS2UNY
105,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",content-words,51907.0,Shandurai has to complete several different household chores.,entailment,A2EI075XZT9Y2S
105,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",content-words,51916.0,Shandurai is not able to complete all of his household chores.,neutral,A2EI075XZT9Y2S
105,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",content-words,51918.0,Shandurai is not too old to complete several different household chores.,entailment,A2EI075XZT9Y2S
105,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",content-words,51921.0,Shandurai is not able to complete several of his household chores.,neutral,A2EI075XZT9Y2S
78,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",content-words,52158.0,Interventionists are unlikely to take any steps to assess change.,neutral,A2C84POENS2UNY
78,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",content-words,52164.0,Interventionists are able to take all necessary steps to assess change.,neutral,A2C84POENS2UNY
78,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",content-words,52165.0,Interventionists are unlikely to take all three markers into consideration when they assess change.,neutral,A2C84POENS2UNY
78,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",content-words,52166.0,Interventionists are required to take all necessary steps to assess change.,neutral,A2C84POENS2UNY
45,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,content-words,52222.0,It is a new hotel that still has a long way to go.,neutral,A2EI075XZT9Y2S
45,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,content-words,52227.0,It is a brand new hotel that still has a long way to go.,neutral,A2EI075XZT9Y2S
45,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,content-words,52232.0,It is an old hotel that still has some way to go.,contradiction,A2EI075XZT9Y2S
45,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,content-words,52236.0,It is a project that still has a long way to go.,neutral,A2EI075XZT9Y2S
72,10397.0,A tinge of Jewish blood is not a bad thing.,content-words,53219.0,A bit of Jew in a good way isn't a terrible thing.,entailment,A2C84POENS2UNY
72,10397.0,A tinge of Jewish blood is not a bad thing.,content-words,53227.0,A bit of Jew in a person isn't a.   A bit of Jew in a person isn't a.,entailment,A2C84POENS2UNY
72,10397.0,A tinge of Jewish blood is not a bad thing.,content-words,53230.0,A bit of Jew in a good way is n't a terrible thing.,entailment,A2C84POENS2UNY
72,10397.0,A tinge of Jewish blood is not a bad thing.,content-words,53233.0,A bit of Jew in a person isn't a good thing.,contradiction,A2C84POENS2UNY
99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,content-words,54579.0,You will be able to see a lot.,entailment,A2C84POENS2UNY
99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,content-words,54580.0,You will be able to see a lot of mountains of sand.,entailment,A2C84POENS2UNY
99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,content-words,54583.0,You will be able to see a lot of sand.,neutral,A2C84POENS2UNY
99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,content-words,54585.0,You will be able to see a.label: contradiction.,neutral,A2C84POENS2UNY
300,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",gradient,30648.0,"Less than 1,000 browsers visit Choose Your Slate each day.",contradiction,A30HUZHJBOX1LK
300,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",gradient,30650.0,"Less than 10,000 browsers visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
300,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",gradient,30653.0,"Less than 10,000 people visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
300,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",gradient,30654.0,"More than 1,000 browsers visit Choose Your Slate each month.",entailment,A30HUZHJBOX1LK
39,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",content-words,55046.0,"More than 1,000 browsers visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
39,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",content-words,55048.0,"Less than 10,000 people visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
39,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",content-words,55049.0,"Less than 20,000 people visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
39,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",content-words,55057.0,"Less than 10,000 browsers visit Choose Your Slate each month.",contradiction,A30HUZHJBOX1LK
345,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,gradient,31628.0,It turns out that it costs less than 72 to buy $1 of dividends.,contradiction,A2EI075XZT9Y2S
345,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,gradient,31629.0,It turns out that it costs $170 to buy $1 of dividends.,contradiction,A2EI075XZT9Y2S
345,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,gradient,31631.0,It turns out that it costs $100 to buy $1 of dividends.,contradiction,A2EI075XZT9Y2S
345,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,gradient,31633.0,It turns out that it costs $═ to buy $1 of dividends.,entailment,A2EI075XZT9Y2S
66,11101.0,In the winter the falls form a spectacular cascade of icicles.,content-words,57278.0,The temperatures in winter time are low enough to create ice.,entailment,A2EI075XZT9Y2S
66,11101.0,In the winter the falls form a spectacular cascade of icicles.,content-words,57282.0,The temperatures in winter time are high enough to create ice.,contradiction,A2EI075XZT9Y2S
66,11101.0,In the winter the falls form a spectacular cascade of icicles.,content-words,57285.0,The temperatures in winter time are not enough.,contradiction,A2EI075XZT9Y2S
66,11101.0,In the winter the falls form a spectacular cascade of icicles.,content-words,57298.0,The temperatures in winter are not enough to creating ice.,contradiction,A2EI075XZT9Y2S
126,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,content-words,58201.0,Is there no common cause with the major international puzzles?,neutral,A2C84POENS2UNY
126,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,content-words,58206.0,Is there a common cause for all the international puzzles?,entailment,A2C84POENS2UNY
126,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,content-words,58207.0,Is there a common problem with the major international puzzles?,neutral,A2C84POENS2UNY
126,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,content-words,58209.0,Is there a common cause with the?,neutral,A2C84POENS2UNY
378,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",gradient,32528.0,She wasn't foolish enough to turn around and look back on him.,contradiction,A2EI075XZT9Y2S
378,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",gradient,32530.0,She wasn't foolish enough to not turn her back on him.,neutral,A2EI075XZT9Y2S
378,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",gradient,32532.0,She wasn't foolish and turned her back on him.,contradiction,A2EI075XZT9Y2S
378,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",gradient,32533.0,She wasn't foolish enough to have her back on him.,contradiction,A2EI075XZT9Y2S
411,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,gradient,32838.0,I had one pickup truck and gave the other on away.,entailment,A30HUZHJBOX1LK
411,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,gradient,32840.0,"I had two pickup trucks, I bought one and gave the other on away.",entailment,A30HUZHJBOX1LK
411,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,gradient,32842.0,I had one truck and gave the other on away.,contradiction,A30HUZHJBOX1LK
411,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,gradient,32843.0,"I had two pickup trucks, one I gave to my youngest, the other on away.",neutral,A30HUZHJBOX1LK
132,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",content-words,59526.0,The court system is only open to the public three days a year.,neutral,A30HUZHJBOX1LK
132,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",content-words,59528.0,The court system is only open to observers for a year.,neutral,A30HUZHJBOX1LK
132,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",content-words,59532.0,The court system is only open to observers three.,neutral,A30HUZHJBOX1LK
132,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",content-words,59539.0,The court system is only open to observers a few days a year.,neutral,A30HUZHJBOX1LK
369,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",gradient,33237.0,"San'doro stabbed them deep, twisted, moved them, and then pulled them free in opposite directions.",neutral,A2EI075XZT9Y2S
369,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",gradient,33238.0,"San'doro stab them deep, moved them, and then pulled them free in opposite directions.",neutral,A2EI075XZT9Y2S
369,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",gradient,33246.0,"San'doro stabbed them deep, moved them, and then pulled them together in opposite directions.",neutral,A2EI075XZT9Y2S
369,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",gradient,33252.0,"San'doro stabbed them, twisted, moved them, and then pulled them free in opposite directions.",neutral,A2EI075XZT9Y2S
0,11688.0,"Simmons works most directly with residents of the approximately 55,700 mobile homes in Iowa.",content-words,60427.0,Simmons spoke about his work with mobile park dwellers in Iowa.,neutral,A2EI075XZT9Y2S
0,11688.0,"Simmons works most directly with residents of the approximately 55,700 mobile homes in Iowa.",content-words,60433.0,Simmons is most known for his work with mobile park dwellers in Iowa.,neutral,A2EI075XZT9Y2S
0,11688.0,"Simmons works most directly with residents of the approximately 55,700 mobile homes in Iowa.",content-words,60438.0,Simmons is enthusiastic about working directly with mobile park dwellers in Iowa.,neutral,A2EI075XZT9Y2S
0,11688.0,"Simmons works most directly with residents of the approximately 55,700 mobile homes in Iowa.",content-words,60441.0,Simmons has never talked about his work with mobile park dwellers in Iowa.,neutral,A2EI075XZT9Y2S
12,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",content-words,62073.0,Sant Joan is the name of an inland city on the island.,entailment,A2C84POENS2UNY
12,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",content-words,62076.0,Sant Joan is the name of a large town on the island.,neutral,A2C84POENS2UNY
12,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",content-words,62078.0,Sant Joan is the name of the only inland hamlet on the island.,contradiction,A2C84POENS2UNY
12,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",content-words,62086.0,Sant Joan is the capital of a large city on the island.,neutral,A2C84POENS2UNY
123,12179.0,"He'd been a pretender long enough, and what punitive action they took now didn't seem to matter.",content-words,62861.0,"He couldn't get enough of being a pretender, and nothing else mattered.",contradiction,A2C84POENS2UNY
123,12179.0,"He'd been a pretender long enough, and what punitive action they took now didn't seem to matter.",content-words,62865.0,"He couldn't stop being a pretender, and their punitive course mattered.",contradiction,A2C84POENS2UNY
123,12179.0,"He'd been a pretender long enough, and what punitive action they took now didn't seem to matter.",content-words,62870.0,"He couldn't get enough of being a pretender, and their punitive action no longer mattered.",contradiction,A2C84POENS2UNY
123,12179.0,"He'd been a pretender long enough, and what punitive action they took now didn't seem to matter.",content-words,62871.0,"He couldn't get enough of being a pretender, and their punitive action didn't matter.",contradiction,A2C84POENS2UNY
414,12194.0,No leader was so clear-eyed about the century's villains.,gradient,35112.0,The leaders could not see the villains of the time.,contradiction,A30HUZHJBOX1LK
414,12194.0,No leader was so clear-eyed about the century's villains.,gradient,35113.0,The leaders could clearly see the villains most of the time.,neutral,A30HUZHJBOX1LK
414,12194.0,No leader was so clear-eyed about the century's villains.,gradient,35114.0,The leaders could clearly see the villains at the time.,entailment,A30HUZHJBOX1LK
414,12194.0,No leader was so clear-eyed about the century's villains.,gradient,35115.0,The leaders could clearly see the bad guys most of the time.,neutral,A30HUZHJBOX1LK
162,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,data-slices,6531.0,Muslims do not care about the whereabouts of the Temple the Dome of the Rock.,contradiction,A2EI075XZT9Y2S
162,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,data-slices,6533.0,Muslims know the whereabouts of the Temple the Dome of the Rock.,entailment,A2EI075XZT9Y2S
162,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,data-slices,6535.0,Muslims want to know the whereabouts of the Temple the Dome of the Rock.,neutral,A2EI075XZT9Y2S
162,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,data-slices,6536.0,Muslims like to know the whereabouts of the Temple the Dome of the Rock.,neutral,A2EI075XZT9Y2S
342,12385.0,"The left-wing parties re?­spond?­ed by banding together in a Popular Front, which the Socialists led to power in 1936.",gradient,35672.0,The left-wing responded by joining together to form a massive army.,neutral,A30HUZHJBOX1LK
342,12385.0,"The left-wing parties re?­spond?­ed by banding together in a Popular Front, which the Socialists led to power in 1936.",gradient,35676.0,The left-wing responded by joining together to make an army.,neutral,A30HUZHJBOX1LK
342,12385.0,"The left-wing parties re?­spond?­ed by banding together in a Popular Front, which the Socialists led to power in 1936.",gradient,35678.0,The left-wing responded by joining together to make a massive.,neutral,A30HUZHJBOX1LK
342,12385.0,"The left-wing parties re?­spond?­ed by banding together in a Popular Front, which the Socialists led to power in 1936.",gradient,35679.0,The left-wing responded by joining together to form an army.,neutral,A30HUZHJBOX1LK
84,12627.0,"Next, references to relevant sections within Volume I and to Volume II are provided.",content-words,65152.0,References to the first and second volumes and citations to their relevant sections are provided.,entailment,A2C84POENS2UNY
84,12627.0,"Next, references to relevant sections within Volume I and to Volume II are provided.",content-words,65153.0,The references to the first and second volumes and citations to their relevant sections are provided.,entailment,A2C84POENS2UNY
84,12627.0,"Next, references to relevant sections within Volume I and to Volume II are provided.",content-words,65156.0,The first and second volumes of Volume I and Volume II and citations to their relevant sections are provided.,neutral,A2C84POENS2UNY
84,12627.0,"Next, references to relevant sections within Volume I and to Volume II are provided.",content-words,65166.0,The titles of the volumes and citations to their relevant sections are provided.,neutral,A2C84POENS2UNY
306,12795.0,"It was not so easy to follow Sir James's advice, and put the possible events of the evening out of her head.",gradient,36906.0,She had not found that following Sir James' advice could be done with so much ease.,entailment,A2C84POENS2UNY
306,12795.0,"It was not so easy to follow Sir James's advice, and put the possible events of the evening out of her head.",gradient,36907.0,She found that following Sir James advice could be done with so much ease.,contradiction,A2C84POENS2UNY
306,12795.0,"It was not so easy to follow Sir James's advice, and put the possible events of the evening out of her head.",gradient,36908.0,She didn't think that following Sir James' advice could be done with so much ease.,entailment,A2C84POENS2UNY
306,12795.0,"It was not so easy to follow Sir James's advice, and put the possible events of the evening out of her head.",gradient,36909.0,She didn't think following Sir James' advice could be done with so much ease.,entailment,A2C84POENS2UNY
408,13021.0,The Palais des Papes is the resulting combination of feudal fortress and opulent palace.,gradient,37617.0,It would be impossible to use the Palais des Papes as a real fortress.,neutral,A30HUZHJBOX1LK
408,13021.0,The Palais des Papes is the resulting combination of feudal fortress and opulent palace.,gradient,37618.0,It would not be possible to use the Palais des Papes as a real fortress.,neutral,A30HUZHJBOX1LK
408,13021.0,The Palais des Papes is the resulting combination of feudal fortress and opulent palace.,gradient,37622.0,It would be viable to use the Palais des Papes as a fortress.,neutral,A30HUZHJBOX1LK
408,13021.0,The Palais des Papes is the resulting combination of feudal fortress and opulent palace.,gradient,37624.0,It would be viable to use the Palais des Papes for a real fortress.,neutral,A30HUZHJBOX1LK
312,13542.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",gradient,39152.0,The IOLTA program is both mandatory and necessary in our court 's opinions.,neutral,A2C84POENS2UNY
312,13542.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",gradient,39153.0,The IOLTA program is both mandatory and necessary in our court opinions.,neutral,A2C84POENS2UNY
312,13542.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",gradient,39157.0,The IOLTA program is both compulsory and necessary in many people's opinions.,neutral,A2C84POENS2UNY
312,13542.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",gradient,39161.0,The IOLTA program is both mandatory and necessary in the court 's opinions.,neutral,A2C84POENS2UNY
351,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,gradient,40371.0,I need to get my tomatoes in here as soon as possible.,neutral,A30HUZHJBOX1LK
351,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,gradient,40373.0,I want to put my tomatoes in here as soon as possible.,neutral,A30HUZHJBOX1LK
351,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,gradient,40374.0,I need to put my tomatoes in here as soon as possible.,neutral,A30HUZHJBOX1LK
351,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,gradient,40378.0,I have to put my tomatoes in here as soon as possible.,neutral,A30HUZHJBOX1LK
330,14093.0,USE OF TECHNOLOGY to improve access and client service delivery.,gradient,40801.0,Technology can be used to improve service to clients.,entailment,A30HUZHJBOX1LK
330,14093.0,USE OF TECHNOLOGY to improve access and client service delivery.,gradient,40804.0,Technology cannot only be used to improve service to clients.,neutral,A30HUZHJBOX1LK
330,14093.0,USE OF TECHNOLOGY to improve access and client service delivery.,gradient,40808.0,Technology cannot always improve service to clients.,contradiction,A30HUZHJBOX1LK
330,14093.0,USE OF TECHNOLOGY to improve access and client service delivery.,gradient,40809.0,Technology can often be used to improve service to clients.,neutral,A30HUZHJBOX1LK
255,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,data-slices,7906.0,It might be necessary for Wilson to make a fuss about the unity of knowledge.,neutral,A2EI075XZT9Y2S
255,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,data-slices,7907.0,It will not be necessary for Wilson to make a fuss about the unity of knowledge.,neutral,A2EI075XZT9Y2S
255,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,data-slices,7908.0,It is not necessary for Wilson to make a fuss about the unity of knowledge.,entailment,A2EI075XZT9Y2S
255,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,data-slices,7910.0,It might be a good idea for Wilson to make a fuss about the unity of knowledge.,neutral,A2EI075XZT9Y2S
360,14600.0,Both programs are recipients of partnership grants to run projects to help Spanish-speaking pro per clients in their respective county courthouses.,gradient,42297.0,The programs were to help Spanish-speaking people register to vote.,neutral,A2EI075XZT9Y2S
360,14600.0,Both programs are recipients of partnership grants to run projects to help Spanish-speaking pro per clients in their respective county courthouses.,gradient,42298.0,The programs help Irish immigrants register to vote.,contradiction,A2EI075XZT9Y2S
360,14600.0,Both programs are recipients of partnership grants to run projects to help Spanish-speaking pro per clients in their respective county courthouses.,gradient,42300.0,The programs were given grants to help immigrants register to vote.,neutral,A2EI075XZT9Y2S
360,14600.0,Both programs are recipients of partnership grants to run projects to help Spanish-speaking pro per clients in their respective county courthouses.,gradient,42305.0,The programs were to help Spanish-speaking immigrants register to vote.,neutral,A2EI075XZT9Y2S
261,14942.0,it's so it almost needs to be something that has more impact for the individual on going,data-slices,8162.0,it has to be something that has more impact than the individual,contradiction,A2EI075XZT9Y2S
261,14942.0,it's so it almost needs to be something that has more impact for the individual on going,data-slices,8165.0,it has to be something that affects more than the individual,neutral,A2EI075XZT9Y2S
261,14942.0,it's so it almost needs to be something that has more impact for the individual on going,data-slices,8166.0,it has to be something that affects society as much as the individual,contradiction,A2EI075XZT9Y2S
261,14942.0,it's so it almost needs to be something that has more impact for the individual on going,data-slices,8167.0,it has to be something that affects society much more than the individual,contradiction,A2EI075XZT9Y2S
333,15206.0,"Ashkelon is a site of great antiquity (perhaps 4,000 years old).",gradient,44281.0,"Ashkelon had never been considered to possibly be 4,000 years old.",contradiction,A2C84POENS2UNY
333,15206.0,"Ashkelon is a site of great antiquity (perhaps 4,000 years old).",gradient,44282.0,"Ashkelon has been considered to possibly be 4,000 years old.",entailment,A2C84POENS2UNY
333,15206.0,"Ashkelon is a site of great antiquity (perhaps 4,000 years old).",gradient,44285.0,"Ashkelon has never been verified to possibly be 4,000 years old.",neutral,A2C84POENS2UNY
333,15206.0,"Ashkelon is a site of great antiquity (perhaps 4,000 years old).",gradient,44289.0,"Ashkelon has never been proven to be 4,000 years old.",neutral,A2C84POENS2UNY
390,15453.0,i mean that's what you your going to have to expect that to happen people are just totally unfeeling like uh,gradient,44968.0,"People can be really sympathetic to animals, I think.",contradiction,A2EI075XZT9Y2S
390,15453.0,i mean that's what you your going to have to expect that to happen people are just totally unfeeling like uh,gradient,44969.0,People can be really sympathetic and not care what you think.,contradiction,A2EI075XZT9Y2S
390,15453.0,i mean that's what you your going to have to expect that to happen people are just totally unfeeling like uh,gradient,44970.0,"People can be very sentimental, I think.",contradiction,A2EI075XZT9Y2S
390,15453.0,i mean that's what you your going to have to expect that to happen people are just totally unfeeling like uh,gradient,44975.0,People can be really sympathetic to animals I think.,contradiction,A2EI075XZT9Y2S
354,15720.0,"For two earners each making $23,350, Alterman is serendipitously close to the mark when he asserts a marriage penalty of $1,001 a year.",gradient,45790.0,"Alterman wants a marriage penalty of $1,002 a year for two earners making $23,350.",entailment,A2EI075XZT9Y2S
354,15720.0,"For two earners each making $23,350, Alterman is serendipitously close to the mark when he asserts a marriage penalty of $1,001 a year.",gradient,45793.0,"Alterman wants a marriage penalty of $1000 a year for two earners making $23,350.",entailment,A2EI075XZT9Y2S
354,15720.0,"For two earners each making $23,350, Alterman is serendipitously close to the mark when he asserts a marriage penalty of $1,001 a year.",gradient,45794.0,"Alterman wants a marriage penalty of $1,001 a year for three earners making $23,350.",contradiction,A2EI075XZT9Y2S
354,15720.0,"For two earners each making $23,350, Alterman is serendipitously close to the mark when he asserts a marriage penalty of $1,001 a year.",gradient,45801.0,"Alterman wants a marriage penalty of $═ for two earners making $23,350.",neutral,A2EI075XZT9Y2S
216,17012.0,"It worries me that before I thought too hard about it, I was having a pretty good time.",data-slices,9419.0,The speaker did not care about their situation at all.,contradiction,A30HUZHJBOX1LK
216,17012.0,"It worries me that before I thought too hard about it, I was having a pretty good time.",data-slices,9424.0,The speaker did not think about their situation.,contradiction,A30HUZHJBOX1LK
216,17012.0,"It worries me that before I thought too hard about it, I was having a pretty good time.",data-slices,9425.0,The speaker did not think about their.,contradiction,A30HUZHJBOX1LK
216,17012.0,"It worries me that before I thought too hard about it, I was having a pretty good time.",data-slices,9426.0,The speaker did not think about their situation at.,contradiction,A30HUZHJBOX1LK
384,17188.0,"Overall, we have implemented the following initiatives and targeted investments, some of which are relatively recent and some of which are 16",gradient,50249.0,Initiatives haven't been effective to help reach targeted investments.,neutral,A2C84POENS2UNY
384,17188.0,"Overall, we have implemented the following initiatives and targeted investments, some of which are relatively recent and some of which are 16",gradient,50252.0,Initiatives haven't been implemented without targeted investments.,neutral,A2C84POENS2UNY
384,17188.0,"Overall, we have implemented the following initiatives and targeted investments, some of which are relatively recent and some of which are 16",gradient,50253.0,Initiatives haven't taken long to help reach targeted investments.,neutral,A2C84POENS2UNY
384,17188.0,"Overall, we have implemented the following initiatives and targeted investments, some of which are relatively recent and some of which are 16",gradient,50255.0,Initiatives haven't been implemented yet to reach targeted investments.,contradiction,A2C84POENS2UNY
288,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,data-slices,9635.0,"For me it's. Usually when you're in school, you'll wear sweatpants.",neutral,A2EI075XZT9Y2S
288,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,data-slices,9637.0,"For me it is not comfortable. Usually when you're in school, you'll wear sweatpants.",contradiction,A2EI075XZT9Y2S
288,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,data-slices,9639.0,"For me it's not comfortable. Usually when you're in school, you'll wear sweatpants.",contradiction,A2EI075XZT9Y2S
288,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,data-slices,9640.0,"For me jeans are more comfortable. Usually when you're in school, you'll wear sweatpants.",neutral,A2EI075XZT9Y2S
393,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,gradient,52240.0,"He can say a lot of things, but none to her.",contradiction,A30HUZHJBOX1LK
393,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,gradient,52241.0,"He complained about a lot of things, but didn't tell her.",contradiction,A30HUZHJBOX1LK
393,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,gradient,52246.0,He complained about a lot of things to her.,neutral,A30HUZHJBOX1LK
393,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,gradient,52248.0,"He complained about a lot of things, but never said anything to her.",contradiction,A30HUZHJBOX1LK
303,19275.0,Poland's road to capitalism and democracy has been a complicated one.,gradient,56527.0,Communist ideology made it easy for Poland to become capitalist.,neutral,A30HUZHJBOX1LK
303,19275.0,Poland's road to capitalism and democracy has been a complicated one.,gradient,56529.0,Communist ideology made it possible for Poland to become capitalist.,neutral,A30HUZHJBOX1LK
303,19275.0,Poland's road to capitalism and democracy has been a complicated one.,gradient,56530.0,Many factors have made it hard for Poland to become capitalist.,neutral,A30HUZHJBOX1LK
303,19275.0,Poland's road to capitalism and democracy has been a complicated one.,gradient,56534.0,Communist ideology made it impossible for Poland to become capitalist.,contradiction,A30HUZHJBOX1LK
324,19899.0,"At present, hospitals are required to distribute a statement entitled An Important Message from Medicare5 to patients at or about the time of admission.",gradient,58431.0,"In the past, hospitals have been required to distribute this statement.",neutral,A2EI075XZT9Y2S
324,19899.0,"At present, hospitals are required to distribute a statement entitled An Important Message from Medicare5 to patients at or about the time of admission.",gradient,58433.0,"Over five years, hospitals have been required to distribute this statement.",neutral,A2EI075XZT9Y2S
324,19899.0,"At present, hospitals are required to distribute a statement entitled An Important Message from Medicare5 to patients at or about the time of admission.",gradient,58435.0,"Over the years, hospitals have been required to distribute this statement.",neutral,A2EI075XZT9Y2S
324,19899.0,"At present, hospitals are required to distribute a statement entitled An Important Message from Medicare5 to patients at or about the time of admission.",gradient,58437.0,"Over five years, hospitals have not been required to distribute this statement.",neutral,A2EI075XZT9Y2S
222,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",data-slices,11012.0,There is no other way to monitor and report emissions.,neutral,A2EI075XZT9Y2S
