,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
441,4083.0,A2C84POENS2UNY,Uncertain-Same,17570.0,"If you're looking for a good movie, emberlita is a good place to go.",gradient,entailment,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",neutral,True
423,1694.0,A2C84POENS2UNY,Uncertain-Same,18129.0,Everyone knew that he wasn't really who he said he was.,gradient,contradiction,0.96,6469.0,'Is that really him?' Somebody else asked.,neutral,True
423,1694.0,A2C84POENS2UNY,Uncertain-Flip,18136.0,Everyone knew the person was not really who he said he was.,gradient,neutral,0.96,6469.0,'Is that really him?' Somebody else asked.,neutral,False
51,908.0,A2C84POENS2UNY,Uncertain-Same,33430.0,Kos is not the best place to go to find well organized dive operators.,content-words,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,neutral,True
51,908.0,A2C84POENS2UNY,Certain-Same,33431.0,Kos is not the place to go to find well.,content-words,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,contradiction,False
51,908.0,A2C84POENS2UNY,Uncertain-Flip,33433.0,Kos is not the worst place to go to find well organized dive operators.,content-words,neutral,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,neutral,False
51,908.0,A2C84POENS2UNY,Uncertain-Same,33437.0,Kos is not the best place to find well organized dive operators.,content-words,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,neutral,True
36,185.0,A2EI075XZT9Y2S,Certain-Flip,33501.0,The IOLTA program is compulsory for members of the court.,content-words,entailment,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",entailment,False
36,185.0,A2EI075XZT9Y2S,Uncertain-Same,33503.0,The IOLTA program is also optional for members of the court.,content-words,contradiction,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",contradiction,False
36,185.0,A2EI075XZT9Y2S,Uncertain-Same,33506.0,The IOLTA program is optional for members of the military.,content-words,contradiction,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",neutral,True
36,185.0,A2EI075XZT9Y2S,Uncertain-Flip,33507.0,The IOLTA program is for members of the court.,content-words,entailment,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",entailment,False
6,670.0,A2C84POENS2UNY,Certain-Same,33884.0,"The shopping street Ormos Ermou, has the energy of a Mexican.",content-words,contradiction,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,670.0,A2C84POENS2UNY,Uncertain-Same,33888.0,"The shopping street Ormos Ermou, has the energy of a flea market.",content-words,contradiction,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,670.0,A2C84POENS2UNY,Uncertain-Flip,33889.0,"The shopping street Ormos Ermou, has the energy of a large flea market.",content-words,entailment,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,670.0,A2C84POENS2UNY,Uncertain-Flip,33896.0,"The shopping street Ormos Ermou, has the energy of a.",content-words,entailment,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
144,975.0,A30HUZHJBOX1LK,Uncertain-Same,34636.0,The land in France is more prosperous than.,content-words,neutral,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",neutral,False
144,975.0,A30HUZHJBOX1LK,Certain-Flip,34637.0,The land in France is more important than the cultural lands.,content-words,contradiction,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",contradiction,False
144,975.0,A30HUZHJBOX1LK,Uncertain-Flip,34638.0,The land in France is more prosperous.,content-words,entailment,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",neutral,True
144,975.0,A30HUZHJBOX1LK,Uncertain-Flip,34647.0,The land in France is more prosperous than the nation.,content-words,contradiction,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",neutral,True
321,375.0,A2EI075XZT9Y2S,Certain-Same,19564.0,Mother Redcap is one of the best known to most people to shop.,gradient,neutral,1.0,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",neutral,False
321,375.0,A2EI075XZT9Y2S,Uncertain-Flip,19566.0,Mother Redcap's is the best known to most people.,gradient,entailment,1.0,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",neutral,True
321,375.0,A2EI075XZT9Y2S,Uncertain-Same,19567.0,Mother Redcap's is the best known to most people in the area.,gradient,neutral,1.0,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",neutral,False
321,375.0,A2EI075XZT9Y2S,Uncertain-Flip,19570.0,Mother Redcap's is the best known to most.,gradient,entailment,1.0,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",entailment,False
18,1177.0,A30HUZHJBOX1LK,Certain-Same,36120.0,Those who feel a holiday is n't the same without a game are gonna have to deal with the pain.,content-words,contradiction,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,contradiction,False
18,1177.0,A30HUZHJBOX1LK,Uncertain-Same,36123.0,Those who feel holidays aren't the same without a game are gonna have to deal.,content-words,contradiction,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,contradiction,False
18,1177.0,A30HUZHJBOX1LK,Uncertain-Same,36136.0,Those who feel holidays aren't the same without a game are gonna have to deal with the.,content-words,contradiction,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,neutral,True
18,1177.0,A30HUZHJBOX1LK,Uncertain-Flip,36138.0,Those who feel holidays aren't the same without a game are gonna have to deal with.,content-words,entailment,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,contradiction,True
9,1029.0,A30HUZHJBOX1LK,Uncertain-Flip,37016.0,The prices of airplane tickets are very low in that place.,content-words,entailment,1.0,7244.0,It is also an area favored by backpackers lured by cheap hotels and restaurants and the chance of purchasing discounted air tickets.,entailment,False
9,1029.0,A30HUZHJBOX1LK,Uncertain-Same,37018.0,The prices of airplane tickets are outrageous.,content-words,contradiction,1.0,7244.0,It is also an area favored by backpackers lured by cheap hotels and restaurants and the chance of purchasing discounted air tickets.,neutral,True
9,1029.0,A30HUZHJBOX1LK,Certain-Flip,37024.0,The prices of airplane tickets are not outrageous in that place.,content-words,entailment,1.0,7244.0,It is also an area favored by backpackers lured by cheap hotels and restaurants and the chance of purchasing discounted air tickets.,entailment,False
9,1029.0,A30HUZHJBOX1LK,Certain-Flip,37026.0,The discounted prices of airplane tickets are outrageous in that place.,content-words,neutral,1.0,7244.0,It is also an area favored by backpackers lured by cheap hotels and restaurants and the chance of purchasing discounted air tickets.,neutral,False
417,1605.0,A2C84POENS2UNY,Uncertain-Flip,21668.0,It's hard to imagine why a government would embargo a product that is used for cosmetic surgeries.,gradient,entailment,0.97,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",neutral,True
417,1605.0,A2C84POENS2UNY,Uncertain-Same,21674.0,It's hard to imagine why a government would embargo a product that could be used for cosmetic surgeries.,gradient,neutral,0.97,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",neutral,False
417,1605.0,A2C84POENS2UNY,Certain-Same,21677.0,It's hard to imagine why a government would embargo a product that's only used for cosmetic surgeries.,gradient,neutral,0.97,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",neutral,False
417,1605.0,A2C84POENS2UNY,Uncertain-Same,21682.0,It's hard to imagine why a government would embargo a product that can be used for cosmetic surgeries.,gradient,neutral,0.97,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",neutral,False
387,1931.0,A2C84POENS2UNY,Uncertain-Flip,22041.0,The schedule will not be implemented in its entirely at one time.,gradient,neutral,0.98,7830.0,The major phases of the implementation schedule are discussed below.,entailment,True
387,1931.0,A2C84POENS2UNY,Uncertain-Flip,22043.0,The schedule will be implemented in three phases entirely at one time.,gradient,neutral,0.98,7830.0,The major phases of the implementation schedule are discussed below.,neutral,False
387,1931.0,A2C84POENS2UNY,Certain-Flip,22044.0,The schedule will be implemented in several phases at one time.,gradient,entailment,0.98,7830.0,The major phases of the implementation schedule are discussed below.,neutral,True
387,1931.0,A2C84POENS2UNY,Uncertain-Same,22046.0,The schedule was discussed in its entirely at one time.,gradient,contradiction,0.98,7830.0,The major phases of the implementation schedule are discussed below.,neutral,True
348,1444.0,A2C84POENS2UNY,Uncertain-Same,22216.0,It is believed that Jesus was born over the grotto.,gradient,entailment,0.99,7903.0,It is constructed over the grotto where it is believed that Mary received the news that she would bear a son and should call him Jesus.,neutral,True
348,1444.0,A2C84POENS2UNY,Certain-Flip,22218.0,It is believed that Mary received no news from the grotto.,gradient,contradiction,0.99,7903.0,It is constructed over the grotto where it is believed that Mary received the news that she would bear a son and should call him Jesus.,contradiction,False
348,1444.0,A2C84POENS2UNY,Certain-Flip,22219.0,It is believed that Mary did not receive the news over the grotto.,gradient,contradiction,0.99,7903.0,It is constructed over the grotto where it is believed that Mary received the news that she would bear a son and should call him Jesus.,contradiction,False
348,1444.0,A2C84POENS2UNY,Uncertain-Flip,22220.0,It is believed that Mary gave birth to Jesus in the grotto.,gradient,neutral,0.99,7903.0,It is constructed over the grotto where it is believed that Mary received the news that she would bear a son and should call him Jesus.,neutral,False
315,976.0,A2C84POENS2UNY,Uncertain-Same,22426.0,It was the lack of people on the label that caught his attention.,gradient,neutral,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,False
315,976.0,A2C84POENS2UNY,Certain-Same,22429.0,But it was the vibrant colors on the label that caught his attention.,gradient,neutral,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,False
315,976.0,A2C84POENS2UNY,Uncertain-Flip,22434.0,It was not the vibrant colors on the label that caught his attention.,gradient,contradiction,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,True
315,976.0,A2C84POENS2UNY,Uncertain-Flip,22435.0,It wasn't the vibrant colors on the label that caught his attention.,gradient,contradiction,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,True
114,522.0,A30HUZHJBOX1LK,Certain-Flip,40693.0,The VP is not concerned about how they are going to get his personal schedule.,content-words,contradiction,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,contradiction,False
114,522.0,A30HUZHJBOX1LK,Uncertain-Flip,40695.0,The VP is worried that he will not be able to get his personal schedule.,content-words,neutral,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,contradiction,True
114,522.0,A30HUZHJBOX1LK,Certain-Flip,40696.0,The VP is worried that people are going to get mad at him for his schedule.,content-words,neutral,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,neutral,False
114,522.0,A30HUZHJBOX1LK,Uncertain-Same,40698.0,The VP is worried that people are going to get.,content-words,entailment,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,neutral,True
81,1117.0,A30HUZHJBOX1LK,Certain-Same,41260.0,The intake systems of the past are perfectly fine and don't need replacing.,content-words,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
81,1117.0,A30HUZHJBOX1LK,Uncertain-Flip,41263.0,The intake systems of the past are old and don't need replacing.,content-words,neutral,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,False
81,1117.0,A30HUZHJBOX1LK,Uncertain-Same,41276.0,The systems that were installed in the past are perfectly viable and don't need replacing.,content-words,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
81,1117.0,A30HUZHJBOX1LK,Uncertain-Flip,41277.0,The intake systems of technologically advanced systems are perfectly viable and don't need replacing.,content-words,neutral,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,False
420,85.0,A2EI075XZT9Y2S,Uncertain-Flip,23068.0,The New Disclosure Option final rule gives mutual fund.,gradient,entailment,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",neutral,True
420,85.0,A2EI075XZT9Y2S,Uncertain-Same,23070.0,The New Disclosure Option final rule gives mutual fund investors too little information.,gradient,contradiction,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",neutral,True
420,85.0,A2EI075XZT9Y2S,Certain-Flip,23071.0,The New Disclosure Option final rule gives investors a little information.,gradient,entailment,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",entailment,False
420,85.0,A2EI075XZT9Y2S,Certain-Flip,23074.0,The New Disclosure Option final rule gives mutual funds a little information.,gradient,entailment,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",contradiction,True
429,2421.0,A2C84POENS2UNY,Uncertain-Same,23373.0,He knows who I am and wants to know.,gradient,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
429,2421.0,A2C84POENS2UNY,Uncertain-Flip,23375.0,He has an idea who I am and wants to know.,gradient,neutral,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,False
429,2421.0,A2C84POENS2UNY,Certain-Same,23377.0,The man has no idea who I am and wants to know.,gradient,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
429,2421.0,A2C84POENS2UNY,Uncertain-Flip,23380.0,The person has no idea who I am and wants to know.,gradient,neutral,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,False
108,4290.0,A2C84POENS2UNY,Uncertain-Same,43356.0,They failed because he was  a great leader.,content-words,contradiction,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,False
108,4290.0,A2C84POENS2UNY,Uncertain-Flip,43360.0,They were under his authority because he was  a great leader.,content-words,neutral,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,True
108,4290.0,A2C84POENS2UNY,Certain-Same,43361.0,They were free and he was  a great.,content-words,contradiction,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,False
108,4290.0,A2C84POENS2UNY,Uncertain-Flip,43365.0,They were under his control because he was  a great leader.,content-words,neutral,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,True
435,367.0,A2EI075XZT9Y2S,Uncertain-Flip,24357.0,The answer was that the Murderers had yelled at each other.,gradient,neutral,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",contradiction,True
435,367.0,A2EI075XZT9Y2S,Uncertain-Flip,24358.0,I didn't know what the answer was that the Murderers had yelled at each other.,gradient,neutral,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,False
435,367.0,A2EI075XZT9Y2S,Uncertain-Same,24364.0,I knew the answer was that the Murderers had yelled at.,gradient,entailment,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,True
435,367.0,A2EI075XZT9Y2S,Certain-Same,24366.0,I knew the answer was that the Murderers had yelled at each.,gradient,entailment,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,True
15,239.0,A2EI075XZT9Y2S,Uncertain-Flip,44233.0,There was a big fuss mad about the anti-poker campaign.,content-words,entailment,1.0,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,entailment,False
15,239.0,A2EI075XZT9Y2S,Certain-Same,44234.0,There was not a fuss mad about the anti-poker campaign.,content-words,contradiction,1.0,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,contradiction,False
15,239.0,A2EI075XZT9Y2S,Uncertain-Flip,44245.0,There was not much that could be done about the anti-poker campaign.,content-words,neutral,1.0,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,neutral,False
15,239.0,A2EI075XZT9Y2S,Uncertain-Same,44250.0,There was not much fuss mad about the pro poker campaign.,content-words,contradiction,1.0,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,contradiction,False
96,1111.0,A2C84POENS2UNY,Uncertain-Same,44679.0,Rennie has a foster son and they are�.,content-words,neutral,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,False
96,1111.0,A2C84POENS2UNY,Certain-Same,44682.0,Rennie has a son and they are very close.,content-words,neutral,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,False
96,1111.0,A2C84POENS2UNY,Uncertain-Flip,44686.0,Rennie has a foster son and they entailment.,content-words,entailment,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,True
96,1111.0,A2C84POENS2UNY,Uncertain-Same,44689.0,Rennie has a husband and they are very close.,content-words,neutral,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,False
141,1223.0,A30HUZHJBOX1LK,Uncertain-Flip,46661.0,The tomb of the Bene Hezir is not the only one we know is authentic.,content-words,contradiction,0.97,9162.0,"The third tomb, which belongs to the Bene Hezir, is the only one to have been authenticated.",contradiction,False
141,1223.0,A30HUZHJBOX1LK,Certain-Flip,46663.0,The first tomb of the Bene Hezir is the only one we know is authentic.,content-words,contradiction,0.97,9162.0,"The third tomb, which belongs to the Bene Hezir, is the only one to have been authenticated.",contradiction,False
141,1223.0,A30HUZHJBOX1LK,Uncertain-Same,46667.0,The tomb of the Bene Hezir is the only one we know is.,content-words,entailment,0.97,9162.0,"The third tomb, which belongs to the Bene Hezir, is the only one to have been authenticated.",neutral,True
141,1223.0,A30HUZHJBOX1LK,Certain-Flip,46668.0,The second tomb of the Bene Hezir is the only one we know is authentic.,content-words,contradiction,0.97,9162.0,"The third tomb, which belongs to the Bene Hezir, is the only one to have been authenticated.",contradiction,False
294,1386.0,A2C84POENS2UNY,Uncertain-Same,4859.0,No one has a solid answer to which is cause or which is effect.,data-slices,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
294,1386.0,A2C84POENS2UNY,Uncertain-Flip,4860.0,There is an answer to which is cause or which is effect.,data-slices,contradiction,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
294,1386.0,A2C84POENS2UNY,Certain-Flip,4861.0,There is a solid answer to which is cause or which is effect.,data-slices,contradiction,0.95,9244.0,Which is cause and which is effect here is an open question.,contradiction,False
294,1386.0,A2C84POENS2UNY,Certain-Flip,4862.0,There is no question as to which is cause or which is effect.,data-slices,contradiction,0.95,9244.0,Which is cause and which is effect here is an open question.,contradiction,False
438,298.0,A2EI075XZT9Y2S,Certain-Flip,26188.0,There is only one answer to which is cause or which is effect.,gradient,contradiction,0.95,9244.0,Which is cause and which is effect here is an open question.,contradiction,False
438,298.0,A2EI075XZT9Y2S,Uncertain-Same,26190.0,No one has a solid answer to which is cause or which is effect.,gradient,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
438,298.0,A2EI075XZT9Y2S,Uncertain-Flip,26194.0,There is no way to know which is cause or which is effect.,gradient,neutral,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,False
438,298.0,A2EI075XZT9Y2S,Uncertain-Same,26195.0,There is no answer to which is cause or which is effect.,gradient,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
3,5061.0,A2C84POENS2UNY,Certain-Flip,48511.0,You wo going through the gate are going to notice the niche below the staircase.,content-words,entailment,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",entailment,False
3,5061.0,A2C84POENS2UNY,Uncertain-Flip,48515.0,You won't be able to fail to notice the niche below the staircase.,content-words,neutral,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",entailment,True
3,5061.0,A2C84POENS2UNY,Uncertain-Flip,48518.0,You won't be able to miss the niche below the staircase.,content-words,neutral,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",entailment,True
3,5061.0,A2C84POENS2UNY,Uncertain-Same,48519.0,You won't be able to notice the niche below the staircase without looking.,content-words,contradiction,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",contradiction,False
375,1174.0,A2C84POENS2UNY,Uncertain-Flip,27261.0,"Jack, a close friend of mine I've know for a while, sent me an application.",gradient,neutral,0.99,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,neutral,False
375,1174.0,A2C84POENS2UNY,Uncertain-Same,27267.0,"Jack, a coworker of mine I've know for a while, sent me an application.",gradient,entailment,0.99,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,neutral,True
375,1174.0,A2C84POENS2UNY,Certain-Flip,27268.0,"Jack, a friend of mine I've know for a while, sent me an application for a scholarship.",gradient,neutral,0.99,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,neutral,False
375,1174.0,A2C84POENS2UNY,Certain-Flip,27269.0,"Jack, a friend of mine I've know for a while, sent me no application.",gradient,contradiction,0.99,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,contradiction,False
111,5058.0,A2C84POENS2UNY,Uncertain-Flip,51135.0,Only parcels under 11 ounces are considered to be basic mail.,content-words,contradiction,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,contradiction,False
111,5058.0,A2C84POENS2UNY,Uncertain-Flip,51138.0,Parcels under 10 ounces are considered to be basic mail.,content-words,contradiction,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,entailment,True
111,5058.0,A2C84POENS2UNY,Certain-Flip,51142.0,Parcels under 11 ounces are considered to be standard mail.,content-words,contradiction,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,neutral,True
105,42.0,A2EI075XZT9Y2S,Certain-Flip,51907.0,Shandurai has to complete several different household chores.,content-words,entailment,0.99,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",entailment,False
105,42.0,A2EI075XZT9Y2S,Certain-Flip,51916.0,Shandurai is not able to complete all of his household chores.,content-words,neutral,0.99,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",neutral,False
105,42.0,A2EI075XZT9Y2S,Uncertain-Flip,51918.0,Shandurai is not too old to complete several different household chores.,content-words,entailment,0.99,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",entailment,False
105,42.0,A2EI075XZT9Y2S,Uncertain-Same,51921.0,Shandurai is not able to complete several of his household chores.,content-words,contradiction,0.99,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",neutral,True
78,1153.0,A2C84POENS2UNY,Certain-Flip,52158.0,Interventionists are unlikely to take any steps to assess change.,content-words,contradiction,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,True
78,1153.0,A2C84POENS2UNY,Uncertain-Same,52164.0,Interventionists are able to take all necessary steps to assess change.,content-words,neutral,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,False
78,1153.0,A2C84POENS2UNY,Uncertain-Flip,52165.0,Interventionists are unlikely to take all three markers into consideration when they assess change.,content-words,contradiction,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,True
78,1153.0,A2C84POENS2UNY,Uncertain-Same,52166.0,Interventionists are required to take all necessary steps to assess change.,content-words,neutral,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,False
45,311.0,A2EI075XZT9Y2S,Uncertain-Same,52222.0,It is a new hotel that still has a long way to go.,content-words,contradiction,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,neutral,True
45,311.0,A2EI075XZT9Y2S,Uncertain-Same,52227.0,It is a brand new hotel that still has a long way to go.,content-words,contradiction,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,neutral,True
45,311.0,A2EI075XZT9Y2S,Certain-Same,52232.0,It is an old hotel that still has some way to go.,content-words,contradiction,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,contradiction,False
45,311.0,A2EI075XZT9Y2S,Uncertain-Flip,52236.0,It is a project that still has a long way to go.,content-words,neutral,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,neutral,False
72,3023.0,A2C84POENS2UNY,Uncertain-Flip,53219.0,A bit of Jew in a good way isn't a terrible thing.,content-words,neutral,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,entailment,True
72,3023.0,A2C84POENS2UNY,Uncertain-Same,53227.0,A bit of Jew in a person isn't a.   A bit of Jew in a person isn't a.,content-words,entailment,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,neutral,True
72,3023.0,A2C84POENS2UNY,Uncertain-Same,53230.0,A bit of Jew in a good way is n't a terrible thing.,content-words,entailment,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,entailment,False
72,3023.0,A2C84POENS2UNY,Certain-Flip,53233.0,A bit of Jew in a person isn't a good thing.,content-words,contradiction,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,contradiction,False
87,59.0,A2EI075XZT9Y2S,Uncertain-Same,53575.0,Colonists suffered at the hands of the hills in the First Maroon War.,content-words,entailment,0.99,10453.0,They made their settlements in the hills away from British rule but began to attack colonists in a program of raids now remembered as The First Maroon War.,entailment,False
87,59.0,A2EI075XZT9Y2S,Uncertain-Flip,53576.0,Colonists suffered attacks from the French in the First Maroon War.,content-words,neutral,0.99,10453.0,They made their settlements in the hills away from British rule but began to attack colonists in a program of raids now remembered as The First Maroon War.,neutral,False
87,59.0,A2EI075XZT9Y2S,Uncertain-Flip,53578.0,Colonists suffered attacks from the British only during the First Maroon War.,content-words,neutral,0.99,10453.0,They made their settlements in the hills away from British rule but began to attack colonists in a program of raids now remembered as The First Maroon War.,contradiction,True
99,956.0,A2C84POENS2UNY,Uncertain-Same,54579.0,You will be able to see a lot.,content-words,entailment,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,entailment,False
99,956.0,A2C84POENS2UNY,Certain-Flip,54580.0,You will be able to see a lot of mountains of sand.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
99,956.0,A2C84POENS2UNY,Certain-Flip,54583.0,You will be able to see a lot of sand.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
99,956.0,A2C84POENS2UNY,Uncertain-Flip,54585.0,You will be able to see a.label: contradiction.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
300,1028.0,A30HUZHJBOX1LK,Certain-Same,30648.0,"Less than 1,000 browsers visit Choose Your Slate each day.",gradient,contradiction,1.0,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",contradiction,False
300,1028.0,A30HUZHJBOX1LK,Uncertain-Flip,30650.0,"Less than 10,000 browsers visit Choose Your Slate each month.",gradient,entailment,1.0,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",contradiction,True
